sales_month,naics_code,kind_of_business,reason_for_null,sales
"2020-01-01","44112","Used car dealers",,8971
"2020-01-01","4413","Automotive parts, acc., and tire stores",,7445
"2020-01-01","442","Furniture and home furnishings stores",,9257
"2020-01-01","442, 443","Furniture, home furn, electronics, and appliance stores",,16993
"2020-01-01","4421","Furniture stores",,4904
"2020-01-01","4422","Home furnishings stores",,4353
"2020-01-01","44221","Floor covering stores","Supressed",
"2020-01-01","442299","All other home furnishings stores",,2408
"2020-01-01","443","Electronics and appliance stores",,7736
"2020-01-01","443141","Household appliance stores",,1197
"2020-01-01","443142","Electronics stores",,6539
"2020-01-01","444","Building mat. and garden equip. and supplies dealers",,27887
"2020-01-01","4441","Building mat. and supplies dealers",,24555
"2020-01-01","44412","Paint and wallpaper stores",,903
"2020-01-01","44413","Hardware stores",,1902
"2020-01-01","445","Food and beverage stores",,63590
"2020-01-01","4451","Grocery stores",,57667
"2020-01-01","44511","Supermarkets and other grocery (except convenience) stores",,55178
"2020-01-01","4453","Beer, wine, and liquor stores",,4388
"2020-01-01","446","Health and personal care stores",,30047
"2020-01-01","44611","Pharmacies and drug stores",,25209
"2020-01-01","447","Gasoline stations",,38940
"2020-01-01","448","Clothing and clothing access. stores",,16612
"2020-01-01","4481","Clothing stores",,12060
"2020-01-01","44811","Men's clothing stores",,550
"2020-01-01","44812","Women's clothing stores",,2532
"2020-01-01","44814","Family clothing stores",,6953
"2020-01-01","44819","Other clothing stores",,1103
"2020-01-01","4482","Shoe stores",,2293
"2020-01-01","44831","Jewelry stores",,1981
"2020-01-01","451","Sporting goods, hobby, musical instrument, and book stores",,5807
"2020-01-01","45111","Sporting goods stores",,2857
"2020-01-01","45112","Hobby, toy, and game stores",,1156
"2020-01-01","451211","Book stores",,956
"2020-01-01","452","General merchandise stores",,52885
"2020-01-01","4521","Department stores",,8479
"2020-01-01","452111","Department stores(excl. discount department stores)",,2293
"2020-01-01","452112","Discount dept. stores",,6186
"2020-01-01","4529","Other general merchandise stores",,44406
"2020-01-01","45291","Warehouse clubs and superstores",,38360
"2020-01-01","45299","All other gen. merchandise stores",,6046
"2020-01-01","453","Miscellaneous store retailers",,10552
"2020-01-01","4532","Office supplies, stationery, and gift stores",,2070
"2020-01-01","45321","Office supplies and stationery stores",,975
"2020-01-01","45322","Gift, novelty, and souvenir stores",,1095
"2020-01-01","45330","Used merchandise stores",,1388
"2020-01-01","454","Nonstore retailers",,64512
"2020-01-01","4541","Electronic shopping and mail-order houses",,56350
"2020-01-01","45431","Fuel dealers",,3448
"2020-01-01","722","Food services and drinking places",,60769
"2020-01-01","7224","Drinking places","Supressed",
"2020-01-01","7225","Restaurants and other eating places",,53411
"2020-01-01","722511","Full service restaurants",,25194
"2020-01-01","722513, 722514, 722515","Limited service eating places",,28217
"2020-01-01",,"Retail sales and food services excl motor vehicle and parts",,388594
"2020-01-01",,"Retail sales, total",,421093
"2020-01-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,327825
"2020-01-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,349654
"2020-01-01",,"Retail sales and food services excl gasoline stations",,442922
"2020-01-01",,"GAFO(1)",,94367
"2020-01-01",,"Retail and food services sales, total",,481862
"2020-02-01","441","Motor vehicle and parts dealers",,97859
"2020-02-01","4411","Automobile dealers",,84600
"2020-02-01","4411, 4412","Automobile and other motor vehicle dealers",,90701
"2020-02-01","44111","New car dealers",,74033
"2020-02-01","44112","Used car dealers",,10567
"2020-02-01","4413","Automotive parts, acc., and tire stores",,7158
"2020-02-01","442","Furniture and home furnishings stores",,9191
"2020-02-01","442, 443","Furniture, home furn, electronics, and appliance stores",,16409
"2020-02-01","4421","Furniture stores",,5035
"2020-02-01","4422","Home furnishings stores",,4156
"2020-02-01","44221","Floor covering stores","Supressed",
"2020-02-01","442299","All other home furnishings stores",,2183
"2020-02-01","443","Electronics and appliance stores",,7218
"2020-02-01","443141","Household appliance stores",,1204
"2020-02-01","443142","Electronics stores",,6014
"2020-02-01","444","Building mat. and garden equip. and supplies dealers",,27164
"2020-02-01","4441","Building mat. and supplies dealers",,23883
"2020-02-01","44412","Paint and wallpaper stores",,896
"2020-02-01","44413","Hardware stores",,1806
"2020-02-01","445","Food and beverage stores",,60983
"2020-02-01","4451","Grocery stores",,54814
"2020-02-01","44511","Supermarkets and other grocery (except convenience) stores",,52341
"2020-02-01","4453","Beer, wine, and liquor stores",,4533
"2020-02-01","446","Health and personal care stores",,28746
"2020-02-01","44611","Pharmacies and drug stores",,23934
"2020-02-01","447","Gasoline stations",,36263
"2020-02-01","448","Clothing and clothing access. stores",,18813
"2020-02-01","4481","Clothing stores",,13058
"2020-02-01","44811","Men's clothing stores",,527
"2020-02-01","44812","Women's clothing stores",,2797
"2020-02-01","44814","Family clothing stores",,7557
"2020-02-01","44819","Other clothing stores",,1185
"2020-02-01","4482","Shoe stores",,2873
"2020-02-01","44831","Jewelry stores","Supressed",
"2020-02-01","451","Sporting goods, hobby, musical instrument, and book stores",,5573
"2020-02-01","45111","Sporting goods stores",,2972
"2020-02-01","45112","Hobby, toy, and game stores",,1180
"2020-02-01","451211","Book stores",,573
"2020-02-01","452","General merchandise stores",,53811
"2020-02-01","4521","Department stores",,9139
"2020-02-01","452111","Department stores(excl. discount department stores)",,2648
"2020-02-01","452112","Discount dept. stores",,6491
"2020-02-01","4529","Other general merchandise stores",,44672
"2020-02-01","45291","Warehouse clubs and superstores",,38426
"2020-02-01","45299","All other gen. merchandise stores",,6246
"2020-02-01","453","Miscellaneous store retailers",,10469
"2020-02-01","4532","Office supplies, stationery, and gift stores",,1986
"2020-02-01","45321","Office supplies and stationery stores",,826
"2020-02-01","45322","Gift, novelty, and souvenir stores",,1160
"2020-02-01","45330","Used merchandise stores",,1426
"2020-02-01","454","Nonstore retailers",,61687
"2020-02-01","4541","Electronic shopping and mail-order houses",,53979
"2020-02-01","45431","Fuel dealers",,2901
"2020-02-01","722","Food services and drinking places",,62091
"2020-02-01","7224","Drinking places","Supressed",
"2020-02-01","7225","Restaurants and other eating places",,54146
"2020-02-01","722511","Full service restaurants","Supressed",
"2020-02-01","722513, 722514, 722515","Limited service eating places",,28158
"2020-02-01",,"Retail sales and food services excl motor vehicle and parts",,382009
"2020-02-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,345746
"2020-02-01",,"Retail sales and food services excl gasoline stations",,443605
"2020-02-01",,"Retail sales, total",,417777
"2020-02-01",,"Retail and food services sales, total",,479868
"2020-02-01",,"GAFO(1)",,96592
"2020-02-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,319918
"2020-03-01","441","Motor vehicle and parts dealers",,82677
"2020-03-01","4411","Automobile dealers",,68585
"2020-03-01","4411, 4412","Automobile and other motor vehicle dealers",,75298
"2020-03-01","44111","New car dealers",,59312
"2020-03-01","44112","Used car dealers",,9273
"2020-03-01","4413","Automotive parts, acc., and tire stores",,7379
"2020-03-01","442","Furniture and home furnishings stores",,7881
"2020-03-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14150
"2020-03-01","4421","Furniture stores",,4288
"2020-03-01","4422","Home furnishings stores",,3593
"2020-03-01","44221","Floor covering stores","Supressed",
"2020-03-01","442299","All other home furnishings stores",,1436
"2020-03-01","443","Electronics and appliance stores",,6269
"2020-03-01","443141","Household appliance stores",,1251
"2020-03-01","443142","Electronics stores",,5018
"2020-03-01","444","Building mat. and garden equip. and supplies dealers",,33087
"2020-03-01","4441","Building mat. and supplies dealers",,28830
"2020-03-01","44412","Paint and wallpaper stores",,1012
"2020-03-01","44413","Hardware stores",,2192
"2020-03-01","445","Food and beverage stores",,79859
"2020-03-01","4451","Grocery stores",,72608
"2020-03-01","44511","Supermarkets and other grocery (except convenience) stores",,70095
"2020-03-01","4453","Beer, wine, and liquor stores",,5521
"2020-03-01","446","Health and personal care stores",,32025
"2020-03-01","44611","Pharmacies and drug stores",,27839
"2020-03-01","447","Gasoline stations",,33586
"2020-03-01","448","Clothing and clothing access. stores",,10833
"2020-03-01","4481","Clothing stores",,7443
"2020-03-01","44811","Men's clothing stores",,267
"2020-03-01","44812","Women's clothing stores",,1564
"2020-03-01","44814","Family clothing stores",,4264
"2020-03-01","44819","Other clothing stores",,791
"2020-03-01","4482","Shoe stores",,1730
"2020-03-01","44831","Jewelry stores","Supressed",
"2020-03-01","451","Sporting goods, hobby, musical instrument, and book stores",,5190
"2020-03-01","45111","Sporting goods stores",,3293
"2020-03-01","45112","Hobby, toy, and game stores",,852
"2020-03-01","451211","Book stores",,392
"2020-03-01","452","General merchandise stores",,62961
"2020-03-01","4521","Department stores",,7871
"2020-03-01","452111","Department stores(excl. discount department stores)",,1177
"2020-03-01","452112","Discount dept. stores",,6694
"2020-03-01","4529","Other general merchandise stores",,55090
"2020-03-01","45291","Warehouse clubs and superstores",,47185
"2020-03-01","45299","All other gen. merchandise stores",,7905
"2020-03-01","453","Miscellaneous store retailers",,9741
"2020-03-01","4532","Office supplies, stationery, and gift stores",,1673
"2020-03-01","45321","Office supplies and stationery stores",,879
"2020-03-01","45322","Gift, novelty, and souvenir stores",,794
"2020-03-01","45330","Used merchandise stores",,882
"2020-03-01","454","Nonstore retailers",,70076
"2020-03-01","4541","Electronic shopping and mail-order houses",,62588
"2020-03-01","45431","Fuel dealers",,2459
"2020-03-01","722","Food services and drinking places",,47328
"2020-03-01","7224","Drinking places","Supressed",
"2020-03-01","7225","Restaurants and other eating places",,41941
"2020-03-01","722511","Full service restaurants","Supressed",
"2020-03-01","722513, 722514, 722515","Limited service eating places",,25080
"2020-03-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,351508
"2020-03-01",,"Retail and food services sales, total",,481513
"2020-03-01",,"Retail sales and food services excl motor vehicle and parts",,398836
"2020-03-01",,"Retail sales and food services excl gasoline stations",,447927
"2020-03-01",,"GAFO(1)",,94807
"2020-03-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,365250
"2020-03-01",,"Retail sales, total",,434185
"2020-04-01","441","Motor vehicle and parts dealers",,69933
"2020-04-01","4411","Automobile dealers",,56406
"2020-04-01","4411, 4412","Automobile and other motor vehicle dealers",,63060
"2020-04-01","44111","New car dealers",,50003
"2020-04-01","44112","Used car dealers",,6403
"2020-04-01","4413","Automotive parts, acc., and tire stores",,6873
"2020-04-01","442","Furniture and home furnishings stores",,3865
"2020-04-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7093
"2020-04-01","4421","Furniture stores",,1904
"2020-04-01","4422","Home furnishings stores",,1961
"2020-04-01","44221","Floor covering stores","Supressed",
"2020-04-01","442299","All other home furnishings stores",,390
"2020-04-01","443","Electronics and appliance stores",,3228
"2020-04-01","443141","Household appliance stores",,1104
"2020-04-01","443142","Electronics stores",,2124
"2020-04-01","444","Building mat. and garden equip. and supplies dealers",,36783
"2020-04-01","4441","Building mat. and supplies dealers",,30743
"2020-04-01","44412","Paint and wallpaper stores",,884
"2020-04-01","44413","Hardware stores",,2623
"2020-04-01","445","Food and beverage stores",,70115
"2020-04-01","4451","Grocery stores",,63230
"2020-04-01","44511","Supermarkets and other grocery (except convenience) stores",,61049
"2020-04-01","4453","Beer, wine, and liquor stores",,5211
"2020-04-01","446","Health and personal care stores",,26709
"2020-04-01","44611","Pharmacies and drug stores",,24749
"2020-04-01","447","Gasoline stations",,26282
"2020-04-01","448","Clothing and clothing access. stores",,2904
"2020-04-01","4481","Clothing stores",,1923
"2020-04-01","44811","Men's clothing stores",,90
"2020-04-01","44812","Women's clothing stores",,495
"2020-04-01","44814","Family clothing stores",,704
"2020-04-01","44819","Other clothing stores",,433
"2020-04-01","4482","Shoe stores",,424
"2020-04-01","44831","Jewelry stores","Supressed",
"2020-04-01","451","Sporting goods, hobby, musical instrument, and book stores",,3381
"2020-04-01","45111","Sporting goods stores",,2453
"2020-04-01","45112","Hobby, toy, and game stores",,357
"2020-04-01","451211","Book stores",,163
"2020-04-01","452","General merchandise stores",,54117
"2020-04-01","4521","Department stores",,5804
"2020-04-01","452111","Department stores(excl. discount department stores)",,12
"2020-04-01","452112","Discount dept. stores",,5792
"2020-04-01","4529","Other general merchandise stores",,48313
"2020-04-01","45291","Warehouse clubs and superstores",,40843
"2020-04-01","45299","All other gen. merchandise stores",,7470
"2020-04-01","453","Miscellaneous store retailers",,7454
"2020-04-01","4532","Office supplies, stationery, and gift stores",,830
"2020-04-01","45321","Office supplies and stationery stores",,615
"2020-04-01","45322","Gift, novelty, and souvenir stores",,215
"2020-04-01","45330","Used merchandise stores",,308
"2020-04-01","454","Nonstore retailers",,75452
"2020-04-01","4541","Electronic shopping and mail-order houses",,69952
"2020-04-01","45431","Fuel dealers",,1687
"2020-04-01","722","Food services and drinking places",,30122
"2020-04-01","7224","Drinking places","Supressed",
"2020-04-01","7225","Restaurants and other eating places",,27761
"2020-04-01","722511","Full service restaurants","Supressed",
"2020-04-01","722513, 722514, 722515","Limited service eating places",,20611
"2020-04-01",,"Retail sales, total",,380223
"2020-04-01",,"Retail sales and food services excl motor vehicle and parts",,340412
"2020-04-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,314130
"2020-04-01",,"GAFO(1)",,68325
"2020-04-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,310290
"2020-04-01",,"Retail and food services sales, total",,410345
"2020-04-01",,"Retail sales and food services excl gasoline stations",,384063
"2020-05-01","441","Motor vehicle and parts dealers",,107362
"2020-05-01","4411","Automobile dealers",,88480
"2020-05-01","4411, 4412","Automobile and other motor vehicle dealers",,98852
"2020-05-01","44111","New car dealers",,77773
"2020-05-01","44112","Used car dealers",,10707
"2020-05-01","4413","Automotive parts, acc., and tire stores",,8510
"2020-05-01","442","Furniture and home furnishings stores",,7349
"2020-05-01","442, 443","Furniture, home furn, electronics, and appliance stores",,11301
"2020-05-01","4421","Furniture stores",,4259
"2020-05-01","4422","Home furnishings stores",,3090
"2020-05-01","44221","Floor covering stores","Supressed",
"2020-05-01","442299","All other home furnishings stores",,1276
"2020-05-01","443","Electronics and appliance stores",,3952
"2020-05-01","443141","Household appliance stores",,1441
"2020-05-01","443142","Electronics stores",,2511
"2020-05-01","444","Building mat. and garden equip. and supplies dealers",,42422
"2020-05-01","4441","Building mat. and supplies dealers",,35986
"2020-05-01","44412","Paint and wallpaper stores",,1092
"2020-05-01","44413","Hardware stores",,3495
"2020-05-01","445","Food and beverage stores",,76438
"2020-05-01","4451","Grocery stores",,68436
"2020-05-01","44511","Supermarkets and other grocery (except convenience) stores",,65735
"2020-05-01","4453","Beer, wine, and liquor stores",,5950
"2020-05-01","446","Health and personal care stores",,26251
"2020-05-01","44611","Pharmacies and drug stores",,23648
"2020-05-01","447","Gasoline stations",,32045
"2020-05-01","448","Clothing and clothing access. stores",,8787
"2020-05-01","4481","Clothing stores",,5504
"2020-05-01","44811","Men's clothing stores",,155
"2020-05-01","44812","Women's clothing stores",,1099
"2020-05-01","44814","Family clothing stores",,3089
"2020-05-01","44819","Other clothing stores",,569
"2020-05-01","4482","Shoe stores",,1624
"2020-05-01","44831","Jewelry stores",,1557
"2020-05-01","451","Sporting goods, hobby, musical instrument, and book stores",,6353
"2020-05-01","45111","Sporting goods stores",,4378
"2020-05-01","45112","Hobby, toy, and game stores",,1120
"2020-05-01","451211","Book stores",,275
"2020-05-01","452","General merchandise stores",,63381
"2020-05-01","4521","Department stores",,8768
"2020-05-01","452111","Department stores(excl. discount department stores)",,1049
"2020-05-01","452112","Discount dept. stores",,7719
"2020-05-01","4529","Other general merchandise stores",,54613
"2020-05-01","45291","Warehouse clubs and superstores",,46287
"2020-05-01","45299","All other gen. merchandise stores",,8326
"2020-05-01","453","Miscellaneous store retailers",,9812
"2020-05-01","4532","Office supplies, stationery, and gift stores",,1220
"2020-05-01","45321","Office supplies and stationery stores",,707
"2020-05-01","45322","Gift, novelty, and souvenir stores",,513
"2020-05-01","45330","Used merchandise stores",,882
"2020-05-01","454","Nonstore retailers",,78134
"2020-05-01","4541","Electronic shopping and mail-order houses",,72558
"2020-05-01","45431","Fuel dealers",,1741
"2020-05-01","722","Food services and drinking places",,42321
"2020-05-01","7224","Drinking places","Supressed",
"2020-05-01","7225","Restaurants and other eating places",,39803
"2020-05-01","722511","Full service restaurants","Supressed",
"2020-05-01","722513, 722514, 722515","Limited service eating places",,26498
"2020-05-01",,"Retail sales, total",,462286
"2020-05-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,354924
"2020-05-01",,"Retail sales and food services excl gasoline stations",,472562
"2020-05-01",,"Retail and food services sales, total",,504607
"2020-05-01",,"Retail sales and food services excl motor vehicle and parts",,397245
"2020-05-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,365200
"2020-05-01",,"GAFO(1)",,91042
"2020-06-01","441","Motor vehicle and parts dealers",,114228
"2020-06-01","4411","Automobile dealers",,93559
"2020-06-01","4411, 4412","Automobile and other motor vehicle dealers",,104941
"2020-06-01","44111","New car dealers",,81593
"2020-06-01","44112","Used car dealers",,11966
"2020-06-01","4413","Automotive parts, acc., and tire stores",,9287
"2020-06-01","442","Furniture and home furnishings stores",,9993
"2020-06-01","442, 443","Furniture, home furn, electronics, and appliance stores",,15601
"2020-06-01","4421","Furniture stores",,5730
"2020-06-01","4422","Home furnishings stores",,4263
"2020-06-01","44221","Floor covering stores","Supressed",
"2020-06-01","442299","All other home furnishings stores",,2102
"2020-06-01","443","Electronics and appliance stores",,5608
"2020-06-01","443141","Household appliance stores",,1681
"2020-06-01","443142","Electronics stores",,3927
"2020-06-01","444","Building mat. and garden equip. and supplies dealers",,42092
"2020-06-01","4441","Building mat. and supplies dealers",,36397
"2020-06-01","44412","Paint and wallpaper stores",,1240
"2020-06-01","44413","Hardware stores",,3350
"2020-06-01","445","Food and beverage stores",,71799
"2020-06-01","4451","Grocery stores",,63973
"2020-06-01","44511","Supermarkets and other grocery (except convenience) stores",,61229
"2020-06-01","4453","Beer, wine, and liquor stores",,5780
"2020-06-01","446","Health and personal care stores",,28279
"2020-06-01","44611","Pharmacies and drug stores",,24655
"2020-06-01","447","Gasoline stations",,36314
"2020-06-01","448","Clothing and clothing access. stores",,16442
"2020-06-01","4481","Clothing stores",,11080
"2020-06-01","44811","Men's clothing stores",,303
"2020-06-01","44812","Women's clothing stores",,2027
"2020-06-01","44814","Family clothing stores",,6955
"2020-06-01","44819","Other clothing stores",,946
"2020-06-01","4482","Shoe stores",,2692
"2020-06-01","44831","Jewelry stores",,2452
"2020-06-01","451","Sporting goods, hobby, musical instrument, and book stores",,8390
"2020-06-01","45111","Sporting goods stores",,5887
"2020-06-01","45112","Hobby, toy, and game stores",,1420
"2020-06-01","451211","Book stores",,388
"2020-06-01","452","General merchandise stores",,60501
"2020-06-01","4521","Department stores",,9047
"2020-06-01","452111","Department stores(excl. discount department stores)",,1524
"2020-06-01","452112","Discount dept. stores",,7523
"2020-06-01","4529","Other general merchandise stores",,51454
"2020-06-01","45291","Warehouse clubs and superstores",,43615
"2020-06-01","45299","All other gen. merchandise stores",,7839
"2020-06-01","453","Miscellaneous store retailers",,11544
"2020-06-01","4532","Office supplies, stationery, and gift stores",,1640
"2020-06-01","45321","Office supplies and stationery stores",,780
"2020-06-01","45322","Gift, novelty, and souvenir stores",,860
"2020-06-01","45330","Used merchandise stores",,1246
"2020-06-01","454","Nonstore retailers",,76015
"2020-06-01","4541","Electronic shopping and mail-order houses",,69954
"2020-06-01","45431","Fuel dealers",,1577
"2020-06-01","722","Food services and drinking places",,51473
"2020-06-01","7224","Drinking places","Supressed",
"2020-06-01","7225","Restaurants and other eating places",,48350
"2020-06-01","722511","Full service restaurants","Supressed",
"2020-06-01","722513, 722514, 722515","Limited service eating places",,28789
"2020-06-01",,"GAFO(1)",,102574
"2020-06-01",,"Retail sales and food services excl motor vehicle and parts",,418450
"2020-06-01",,"Retail and food services sales, total",,532678
"2020-06-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,366977
"2020-06-01",,"Retail sales and food services excl gasoline stations",,496364
"2020-06-01",,"Retail sales, total",,481205
"2020-06-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,382136
"2020-07-01","441","Motor vehicle and parts dealers",,116233
"2020-07-01","4411","Automobile dealers",,97104
"2020-07-01","4411, 4412","Automobile and other motor vehicle dealers",,107082
"2020-07-01","44111","New car dealers",,84691
"2020-07-01","44112","Used car dealers",,12413
"2020-07-01","4413","Automotive parts, acc., and tire stores",,9151
"2020-07-01","442","Furniture and home furnishings stores",,10625
"2020-07-01","442, 443","Furniture, home furn, electronics, and appliance stores",,17180
"2020-07-01","4421","Furniture stores",,5957
"2020-07-01","4422","Home furnishings stores",,4668
"2020-07-01","44221","Floor covering stores","Supressed",
"2020-07-01","442299","All other home furnishings stores",,2440
"2020-07-01","443","Electronics and appliance stores",,6555
"2020-07-01","443141","Household appliance stores",,1731
"2020-07-01","443142","Electronics stores",,4824
"2020-07-01","444","Building mat. and garden equip. and supplies dealers",,39430
"2020-07-01","4441","Building mat. and supplies dealers",,34870
"2020-07-01","44412","Paint and wallpaper stores",,1271
"2020-07-01","44413","Hardware stores",,3028
"2020-07-01","445","Food and beverage stores",,75085
"2020-07-01","4451","Grocery stores",,66892
"2020-07-01","44511","Supermarkets and other grocery (except convenience) stores",,63980
"2020-07-01","4453","Beer, wine, and liquor stores",,6106
"2020-07-01","446","Health and personal care stores",,29573
"2020-07-01","44611","Pharmacies and drug stores",,25460
"2020-07-01","447","Gasoline stations",,38876
"2020-07-01","448","Clothing and clothing access. stores",,17779
"2020-07-01","4481","Clothing stores",,12098
"2020-07-01","44811","Men's clothing stores",,405
"2020-07-01","44812","Women's clothing stores",,2373
"2020-07-01","44814","Family clothing stores",,7077
"2020-07-01","44819","Other clothing stores",,1156
"2020-07-01","4482","Shoe stores",,2722
"2020-07-01","44831","Jewelry stores",,2679
"2020-07-01","451","Sporting goods, hobby, musical instrument, and book stores",,8011
"2020-07-01","45111","Sporting goods stores",,5435
"2020-07-01","45112","Hobby, toy, and game stores",,1409
"2020-07-01","451211","Book stores",,437
"2020-07-01","452","General merchandise stores",,61674
"2020-07-01","4521","Department stores",,9384
"2020-07-01","452111","Department stores(excl. discount department stores)",,1591
"2020-07-01","452112","Discount dept. stores",,7793
"2020-07-01","4529","Other general merchandise stores",,52290
"2020-07-01","45291","Warehouse clubs and superstores",,44706
"2020-07-01","45299","All other gen. merchandise stores",,7584
"2020-07-01","453","Miscellaneous store retailers",,11992
"2020-07-01","4532","Office supplies, stationery, and gift stores",,2020
"2020-07-01","45321","Office supplies and stationery stores",,869
"2020-07-01","45322","Gift, novelty, and souvenir stores",,1151
"2020-07-01","45330","Used merchandise stores",,1300
"2020-07-01","454","Nonstore retailers",,79072
"2020-07-01","4541","Electronic shopping and mail-order houses",,72123
"2020-07-01","45431","Fuel dealers",,1603
"2020-07-01","722","Food services and drinking places",,54511
"2020-07-01","7224","Drinking places","Supressed",
"2020-07-01","7225","Restaurants and other eating places",,51178
"2020-07-01","722511","Full service restaurants","Supressed",
"2020-07-01","722513, 722514, 722515","Limited service eating places",,30214
"2020-07-01",,"Retail and food services sales, total",,549416
"2020-07-01",,"Retail sales and food services excl motor vehicle and parts",,433183
"2020-07-01",,"Retail sales, total",,494905
"2020-07-01",,"GAFO(1)",,106664
"2020-07-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,378672
"2020-07-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,394307
"2020-07-01",,"Retail sales and food services excl gasoline stations",,510540
"2020-08-01","441","Motor vehicle and parts dealers",,115928
"2020-08-01","4411","Automobile dealers",,98206
"2020-08-01","4411, 4412","Automobile and other motor vehicle dealers",,106956
"2020-08-01","44111","New car dealers",,86015
"2020-08-01","44112","Used car dealers",,12191
"2020-08-01","4413","Automotive parts, acc., and tire stores",,8972
"2020-08-01","442","Furniture and home furnishings stores",,11017
"2020-08-01","442, 443","Furniture, home furn, electronics, and appliance stores",,17856
"2020-08-01","4421","Furniture stores",,5847
"2020-08-01","4422","Home furnishings stores",,5170
"2020-08-01","44221","Floor covering stores","Supressed",
"2020-08-01","442299","All other home furnishings stores",,2647
"2020-08-01","443","Electronics and appliance stores",,6839
"2020-08-01","443141","Household appliance stores",,1747
"2020-08-01","443142","Electronics stores",,5092
"2020-08-01","444","Building mat. and garden equip. and supplies dealers",,36664
"2020-08-01","4441","Building mat. and supplies dealers",,32612
"2020-08-01","44412","Paint and wallpaper stores",,1216
"2020-08-01","44413","Hardware stores",,2891
"2020-08-01","445","Food and beverage stores",,72353
"2020-08-01","4451","Grocery stores",,64500
"2020-08-01","44511","Supermarkets and other grocery (except convenience) stores",,61571
"2020-08-01","4453","Beer, wine, and liquor stores",,5813
"2020-08-01","446","Health and personal care stores",,28918
"2020-08-01","44611","Pharmacies and drug stores",,24757
"2020-08-01","447","Gasoline stations",,38730
"2020-08-01","448","Clothing and clothing access. stores",,18968
"2020-08-01","4481","Clothing stores",,12933
"2020-08-01","44811","Men's clothing stores",,379
"2020-08-01","44812","Women's clothing stores",,2386
"2020-08-01","44814","Family clothing stores",,7768
"2020-08-01","44819","Other clothing stores",,1158
"2020-08-01","4482","Shoe stores",,2822
"2020-08-01","44831","Jewelry stores",,2877
"2020-08-01","451","Sporting goods, hobby, musical instrument, and book stores",,8218
"2020-08-01","45111","Sporting goods stores",,5163
"2020-08-01","45112","Hobby, toy, and game stores",,1508
"2020-08-01","451211","Book stores",,770
"2020-08-01","452","General merchandise stores",,62304
"2020-08-01","4521","Department stores",,9879
"2020-08-01","452111","Department stores(excl. discount department stores)",,1739
"2020-08-01","452112","Discount dept. stores",,8140
"2020-08-01","4529","Other general merchandise stores",,52425
"2020-08-01","45291","Warehouse clubs and superstores",,45080
"2020-08-01","45299","All other gen. merchandise stores",,7345
"2020-08-01","453","Miscellaneous store retailers",,11842
"2020-08-01","4532","Office supplies, stationery, and gift stores",,2210
"2020-08-01","45321","Office supplies and stationery stores",,1105
"2020-08-01","45322","Gift, novelty, and souvenir stores",,1105
"2020-08-01","45330","Used merchandise stores",,1491
"2020-08-01","454","Nonstore retailers",,77168
"2020-08-01","4541","Electronic shopping and mail-order houses",,70505
"2020-08-01","45431","Fuel dealers",,1630
"2020-08-01","722","Food services and drinking places",,56358
"2020-08-01","7224","Drinking places","Supressed",
"2020-08-01","7225","Restaurants and other eating places",,52457
"2020-08-01","722511","Full service restaurants","Supressed",
"2020-08-01","722513, 722514, 722515","Limited service eating places",,30013
"2020-08-01",,"GAFO(1)",,109556
"2020-08-01",,"Retail sales, total",,488949
"2020-08-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,373021
"2020-08-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,390649
"2020-08-01",,"Retail sales and food services excl gasoline stations",,506577
"2020-08-01",,"Retail and food services sales, total",,545307
"2020-08-01",,"Retail sales and food services excl motor vehicle and parts",,429379
"2020-09-01","441","Motor vehicle and parts dealers",,113058
"2020-09-01","4411","Automobile dealers",,96980
"2020-09-01","4411, 4412","Automobile and other motor vehicle dealers",,104451
"2020-09-01","44111","New car dealers",,85909
"2020-09-01","44112","Used car dealers",,11071
"2020-09-01","4413","Automotive parts, acc., and tire stores",,8607
"2020-09-01","442","Furniture and home furnishings stores",,11071
"2020-09-01","442, 443","Furniture, home furn, electronics, and appliance stores",,17530
"2020-09-01","4421","Furniture stores",,6112
"2020-09-01","4422","Home furnishings stores",,4959
"2020-09-01","44221","Floor covering stores","Supressed",
"2020-09-01","442299","All other home furnishings stores",,2506
"2020-09-01","443","Electronics and appliance stores",,6459
"2020-09-01","443141","Household appliance stores",,1665
"2020-09-01","443142","Electronics stores",,4794
"2020-09-01","444","Building mat. and garden equip. and supplies dealers",,36930
